"n","year-r","age","total","y","q","year"
"1",199625,0,2,1996,2,"1996.II"
"2",199625,1,0,1996,2,"1996.II"
"3",199625,2,0,1996,2,"1996.II"
"4",199625,3,0,1996,2,"1996.II"
"5",199625,4,0,1996,2,"1996.II"
"6",199625,5,0,1996,2,"1996.II"
"7",199625,6,0,1996,2,"1996.II"
"8",199625,7,0,1996,2,"1996.II"
"9",199625,8,0,1996,2,"1996.II"
"10",199625,9,0,1996,2,"1996.II"
"11",199625,10,0,1996,2,"1996.II"
"12",199625,11,0,1996,2,"1996.II"
"13",199625,12,0,1996,2,"1996.II"
"14",199625,13,0,1996,2,"1996.II"
"15",199625,14,0,1996,2,"1996.II"
"16",199625,15,0,1996,2,"1996.II"
"17",199625,16,0,1996,2,"1996.II"
"18",199625,17,0,1996,2,"1996.II"
"19",199625,18,0,1996,2,"1996.II"
"20",199625,19,0,1996,2,"1996.II"
"21",199625,20,0,1996,2,"1996.II"
"22",199625,21,0,1996,2,"1996.II"
"23",199625,22,0,1996,2,"1996.II"
"24",199625,23,0,1996,2,"1996.II"
"25",199625,24,0,1996,2,"1996.II"
"26",199625,25,0,1996,2,"1996.II"
"27",199625,26,0,1996,2,"1996.II"
"28",199625,27,0,1996,2,"1996.II"
"29",199625,28,0,1996,2,"1996.II"
"30",199625,29,0,1996,2,"1996.II"
"31",199625,30,0,1996,2,"1996.II"
"32",199625,31,0,1996,2,"1996.II"
"33",199625,32,0,1996,2,"1996.II"
"34",199625,33,0,1996,2,"1996.II"
"35",199625,34,0,1996,2,"1996.II"
"36",199625,35,0,1996,2,"1996.II"
"37",199625,36,0,1996,2,"1996.II"
"38",199625,37,0,1996,2,"1996.II"
"39",199625,38,0,1996,2,"1996.II"
"40",199625,39,0,1996,2,"1996.II"
"41",199625,40,0,1996,2,"1996.II"
"42",199625,41,0,1996,2,"1996.II"
"43",199625,42,0,1996,2,"1996.II"
"44",199625,43,0,1996,2,"1996.II"
"45",199625,44,0,1996,2,"1996.II"
"46",199625,45,0,1996,2,"1996.II"
"47",199625,46,0,1996,2,"1996.II"
"48",199625,47,0,1996,2,"1996.II"
"49",199625,48,0,1996,2,"1996.II"
"50",199625,49,0,1996,2,"1996.II"
"51",199625,50,0,1996,2,"1996.II"
"52",199625,51,0,1996,2,"1996.II"
"53",199625,52,0,1996,2,"1996.II"
"54",199625,53,0,1996,2,"1996.II"
"55",199625,54,0,1996,2,"1996.II"
"56",199625,55,0,1996,2,"1996.II"
"57",199625,56,0,1996,2,"1996.II"
"58",199625,57,0,1996,2,"1996.II"
"59",199625,58,0,1996,2,"1996.II"
"60",199625,59,0,1996,2,"1996.II"
"61",199625,60,0,1996,2,"1996.II"
"62",199625,61,0,1996,2,"1996.II"
"63",199625,62,0,1996,2,"1996.II"
"64",199625,63,0,1996,2,"1996.II"
"65",199625,64,0,1996,2,"1996.II"
"66",199625,65,0,1996,2,"1996.II"
"67",199625,66,0,1996,2,"1996.II"
"68",199625,67,0,1996,2,"1996.II"
"69",199625,68,0,1996,2,"1996.II"
"70",199625,69,0,1996,2,"1996.II"
"71",199625,70,0,1996,2,"1996.II"
"72",199625,71,0,1996,2,"1996.II"
"73",199625,72,0,1996,2,"1996.II"
"74",199625,73,0,1996,2,"1996.II"
"75",199625,74,0,1996,2,"1996.II"
"76",199625,75,0,1996,2,"1996.II"
"77",199625,76,0,1996,2,"1996.II"
